creature n.生物,动物,家畜
credit n.信用贷款;信用
creep vi.爬行;缓慢地行进
crew n.全体船员
crime n.罪,罪行;犯罪
criminal n.犯人,罪犯,刑事犯
crisis n.危机;存亡之际
critic n.批评家,爱挑剔的人
critical a.决定性的;批评的
criticism n.批评;批判;评论
criticize vt.批评;评论;非难
crop n.农作物,庄稼;一熟
crude a.简陋的;天然的
cruel a.残忍的,残酷的
crust n.面包皮;硬外皮
crystal n.水晶,结晶体;晶粒
cube n.立方形;立方
cubic a.立方形的;立方的
cultivate vt.耕;种植;培养
cupboard n.碗柜,碗碟橱;食橱
cure vt.医治;消除 n.治愈
curiosity n.好奇,好奇心;珍品
curious a.好奇的;稀奇古怪的
curse n.诅咒,咒骂;天谴
curtain n.帘,窗帘;幕(布)
curve n.曲线;弯 vt.弄弯
cushion n.垫子,坐垫,靠垫
custom n.习惯,风俗;海关
